model,architecture,optimizer,learning_rate,batch_size,dropout_rate,l2_strength,epochs_run,parameters,validation_loss,validation_accuracy,test_loss,test_accuracy,training_time_seconds,curve_path,model_path
vgg_style_adam_lr1e-3_bs128,Enhanced VGG-style CNN,adam,0.001,128,0.4,0.0001,10,307832,0.09896313399076462,1.0,0.11070605367422104,0.9938650131225586,307.4889039993286,figures/training_curves_vgg_style_adam_lr1e-3_bs128.png,outputs/vgg_style_adam_lr1e-3_bs128.h5
baseline_adam_lr1e-3_bs128,Baseline CNN,adam,0.001,128,0.3,0.0,8,423448,0.09985712170600891,0.9917455911636353,0.388512521982193,0.8697713613510132,39.47194814682007,figures/training_curves_baseline_adam_lr1e-3_bs128.png,outputs/baseline_adam_lr1e-3_bs128.h5
baseline_adam_lr5e-4_bs256,Baseline CNN tuned LR/batch,adam,0.0005,256,0.3,0.0,8,423448,0.2888021469116211,0.9482884407043457,0.5293800234794617,0.8462074995040894,41.72818183898926,figures/training_curves_baseline_adam_lr5e-4_bs256.png,outputs/baseline_adam_lr5e-4_bs256.h5
